Name,_RA,_DE,Vmag,e_Vmag,plx,e_plx,r_plx,Bin,SNR,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,Xi,e_Xi,__CI_H_,__CH_H_,__OI_H_,__NaI_H_,__MgI_H_,__AlI_H_,__SiI_H_,__SI_H_,__CaI_H_,__ScI_H_,__ScII_H_,__TiI_H_,__TiII_H_,__VI_H_,__CrI_H_,__CrII_H_,__MnI_H_,__CoI_H_,__NiI_H_,__CuI_H_,__ZnI_H_,Agemp,AgeLL1s,AgeUL1s,AgeLL2s,AgeUL2s,Agemean,Agestd,Massmp,MassLL1s,MassUL1s,MassLL2s,MassUL2s,MassMean,MassStd,__SrI_H_,e__SrI_H_,__YII_H_,e__YII_H_,__ZrII_H_,e__ZrII_H_,__BaII_H_,e__BaII_H_,__LaII_H_,e__LaII_H_,__CeII_H_,e__CeII_H_,__PrII_H_,e__PrII_H_,__NdII_H_,e__NdII_H_,__SmII_H_,e__SmII_H_,__EuII_H_,e__EuII_H_,__GdII_H_,e__GdII_H_,__DyII_H_,e__DyII_H_
HIP10175,32.717,13.68327,8.18,0.016,23.32,0.28,Gaia,no,600,5719,3,4.485,0.01,-0.028,0.002,0.97,0.01,-0.083,-0.076,-0.004,-0.079,-0.034,-0.062,-0.038,-0.026,-0.005,-0.047,-0.047,-0.005,-0.027,-0.03,-0.015,-0.024,-0.057,-0.056,-0.069,-0.084,-0.076,3.1,2.8,3.5,2.4,4.4,3.2,0.4,0.99,0.983,1.007,0.978,1.018,0.99,0.002,0.053,0.005,0.038,0.007,0.059,0.012,0.088,0.005,0.09,0.029,0.076,0.016,0.142,0.008,0.099,0.01,0.029,0.013,0.061,0.005,0.052,0.005,0.037,0.005
HIP101905,309.7605,-49.33142,7.328,0.008,29.47,0.59,Gaia,no,1200,5906,5,4.5,0.011,0.088,0.004,1.08,0.01,-0.052,-0.015,0.019,-0.005,0.062,0.054,0.063,-0.016,0.112,0.082,0.077,0.103,0.092,0.093,0.086,0.082,0.042,0.05,0.05,0.003,-0.009,1.2,0.9,1.5,0.7,1.8,1.2,0.3,1.08,1.073,1.097,1.067,1.108,1.08,0.002,0.185,0.006,0.169,0.011,0.173,0.01,0.228,0.01,0.19,0.031,0.207,0.012,0.182,0.014,0.219,0.01,0.142,0.021,0.164,0.014,0.137,0.006,0.154,0.066
HIP102040,310.18809,19.93554,6.425,0.004,47.79,0.75,Hipparcos,no,1000,5853,4,4.48,0.012,-0.08,0.003,1.05,0.01,-0.092,-0.166,-0.058,-0.151,-0.078,-0.101,-0.084,-0.145,-0.046,-0.083,-0.055,-0.045,-0.055,-0.08,-0.088,-0.087,-0.143,-0.093,-0.118,-0.146,-0.157,2.4,2,2.8,1.6,3.1,2.4,0.4,1.02,1.013,1.034,1.01,1.039,1.02,0.002,-0.018,0.005,-0.026,0.007,0.001,0.011,0.048,0.012,0.038,0.018,0.069,0.016,0.078,0.01,0.085,0.011,0.033,0.023,0.066,0.017,0.014,0.006,0.028,0.028
HIP102152,310.47764,-27.21595,9.156,0.024,13.08,0.97,Gaia,no,600,5718,4,4.325,0.011,-0.016,0.003,0.99,0.01,-0.001,-0.033,0.035,-0.044,0.015,0.01,-0.013,-0.028,-0.01,-0.032,-0.012,-0.007,-0.017,-0.025,-0.021,-0.017,-0.043,-0.034,-0.033,-0.014,-0.012,8.6,8.2,8.9,7.9,9.2,8.6,0.3,0.98,0.972,0.997,0.962,1.022,0.978,0.004,-0.126,0.005,-0.12,0.007,-0.11,0.012,-0.065,0.009,-0.078,0.019,-0.039,0.013,-0.016,0.017,-0.015,0.009,-0.001,0.01,0.007,0.019,0.012,0.005,-0.047,0.027
HIP10303,33.19434,-2.39633,7.629,0.013,23.43,9.5,Hipparcos,no,700,5712,3,4.395,0.01,0.104,0.003,0.94,0.01,0.076,0.063,0.081,0.102,0.121,0.137,0.108,0.08,0.109,0.098,0.128,0.117,0.111,0.119,0.111,0.112,0.123,0.104,0.124,0.118,0.108,5.9,5.5,6.3,5,6.6,5.8,0.4,1.01,1.003,1.025,1,1.334,1.011,0.003,0.136,0.005,0.123,0.006,0.108,0.014,0.084,0.008,0.073,0.006,0.076,0.015,0.112,0.012,0.09,0.007,0.093,0.016,0.115,0.013,0.134,0.005,0.099,0.021
HIP104045,316.18395,-4.8289,8.336,0.014,18.91,0.46,Gaia,no,600,5826,3,4.41,0.01,0.051,0.003,1.04,0.01,0.009,0.008,0.035,0.026,0.04,0.038,0.045,0.044,0.059,0.026,0.051,0.048,0.04,0.042,0.048,0.058,0.045,0.037,0.048,0.031,0.022,4.1,3.8,5,3.4,5.4,4.5,0.5,1.03,1.021,1.046,1.012,1.077,1.027,0.005,0.069,0.005,0.066,0.008,0.072,0.006,0.061,0.008,0.014,0.026,0.065,0.009,0.089,0.018,0.082,0.013,0.031,0.013,0.129,0.008,0.142,0.023,0.07,0.007
HIP105184,319.61362,-43.33465,6.752,0.004,41.61,0.88,Hipparcos,no,1200,5843,6,4.51,0.011,0.003,0.004,1.05,0.01,-0.091,-0.078,-0.002,-0.06,-0.006,-0.035,-0.011,-0.044,0.042,0.006,-0.02,0.034,0.01,0.008,0.014,0.012,-0.05,-0.036,-0.051,-0.081,-0.076,0.6,0.3,1.1,0.1,1.8,0.7,0.4,1.05,1.042,1.064,1.033,1.069,1.05,0.006,0.116,0.007,0.1,0.008,0.114,0.01,0.198,0.007,0.15,0.023,0.187,0.012,0.157,0.012,0.19,0.01,0.098,0.031,0.095,0.007,0.071,0.006,0.118,0.06
HIP108158,328.68835,-73.43848,7.428,0.008,26.2,0.24,Gaia,no,900,5675,4,4.285,0.011,0.055,0.003,1.01,0.01,0.156,0.098,0.198,0.088,0.193,0.21,0.118,0.151,0.102,0.138,0.161,0.16,0.159,0.133,0.07,0.074,0.033,0.128,0.082,0.164,0.191,8.1,7.8,8.4,7.6,8.7,8.1,0.3,1.02,1.013,1.034,1.01,1.039,1.021,0.002,-0.024,0.006,-0.027,0.011,-0.014,0.02,0.003,0.007,0.01,0.006,0.033,0.018,0.163,0.013,0.075,0.011,0.116,0.014,0.152,0.007,0.132,0.006,0.162,0.009
HIP108468,329.60136,-12.66466,7.157,0.008,29.41,0.26,Gaia,no,1200,5841,4,4.35,0.011,-0.096,0.004,1.13,0.01,-0.086,-0.116,-0.041,-0.141,-0.059,-0.062,-0.089,-0.108,-0.078,-0.101,-0.079,-0.081,-0.075,-0.105,-0.111,-0.091,-0.149,-0.108,-0.125,-0.118,-0.13,7,6.7,7.3,6.4,7.6,7,0.3,1.01,1.002,1.024,0.992,1.029,1.006,0.005,-0.212,0.004,-0.217,0.006,-0.17,0.015,-0.121,0.011,-0.106,0.016,-0.081,0.017,0.006,0.01,-0.041,0.006,-0.058,0.018,-0.022,0.012,-0.045,0.006,-0.017,0.016
HIP109821,333.66106,-41.38166,6.223,0.009,45.18,0.69,Hipparcos,no,1100,5747,4,4.31,0.011,-0.108,0.004,1.06,0.01,-0.011,-0.122,0.015,-0.147,-0.026,-0.01,-0.073,-0.075,-0.061,-0.08,-0.044,-0.035,-0.032,-0.092,-0.124,-0.103,-0.186,-0.1,-0.136,-0.097,-0.097,8.9,8.6,9.2,8.3,9.4,8.9,0.3,0.98,0.973,0.997,0.967,1.008,0.98,0.002,-0.198,0.005,-0.2,0.007,-0.15,0.009,-0.129,0.007,-0.088,0.009,-0.064,0.013,-0.003,0.012,-0.023,0.007,-0.022,0.014,-0.024,0.016,-0.021,0.005,0.004,0.011
